순서,리뷰
470,"#이벤트참여
자취하면서부터 함께한 GoldStar를 보내고
광파를 들였습니다.
에프 기능, 오븐 기능이 다 되니 냉큼 야식을 만들어야겠습니다. ㅎ
이 제품은 에어수비드가 되는게 특징인데
진공포장된 음식을 천천히 촉촉하게 익혀준다네요!!
제도 쉐프가 되어보겠습니다.
아, 물론 햇반을 제일 많이 돌리겠지만요 ㅋ"
471,두번째 구매입니다 너무 만족히 잘쓰고있습니다 .
472,"포토리뷰하면 상품권준다길래 등록합니다 ㅋㅋㅋ
이것저것 알아보고 역시 엘지가 제일 나은거 같아서 구매했어요. 레인지에 에어프라이 다 되니 좋아요~~"
473,"역시 쿠킹 오븐은 LG가 최고인 것 같습니다.
전작보다 디자인이 더 오븐스럽게 너무 이쁘게 바뀌어서 주방이 산뜻해졌어요.

오븐에서 가장 답이 없지만, 중요하다고 생각하는 부분이 청소인데 LG오븐은 스팀 기능이 단순히 조리뿐만 아니라 청소에도 사용이 가능해서 이점 때문에라도 항상 오븐은 LG제품을 선호하게 된 것 같습니다. 어느 정도 답이 생기거든요.

설치 기사님도 친절하고 제품은 더 설명이 필요 없을 정도로 완성도 높고, 구성품 하나하나도 품질이 좋은 편이고 성능은 말할 필요도 없이 완벽합니다.

아쉬운 점이 하나 있다면 오븐장갑이 구성품에 없는게 너무 아쉽네요. LG로고가 이쁘게 박힌 감성있는 오븐장갑 하나만 주었더라면 더할나위 없이 완벽했을 것 같은데 너무 아쉽습니다. 오븐의 완성은 감성있는 장갑인데 너무 너무 아쉽습니다..."
474,"#이벤트참여

미스트글라스 화이트 광파 주문 후 계속 품절과 지연이되어 기다리다가 신제품 출시를 보고 바로 기존꺼 취소 후 결재했습니다. 일주일쯤 걸려 제품을 받았는데, 색상 선택을 못했지만 화이트에 가까운 베이지라 좋았습니다.
10여년 전에 쓰던 광파랑 비교 시 외관이 살짝 커진것 같고, 디자인이 모던해보입니다. 기능이 많아져서 좋습니다. 수비드, 건조 등 활용해 볼 계획입니다. 앱에서 메뉴를 선택후 보내기가 가능해서 편하며 종료시 앱으로 알림 받는것은 편하고 큐커랑도 동일합니다. 다양한 기능을 화면에서 바로가기로 선택할 수 있어 타사 큐커 대비 편한것 같습니다. 내부 상단에 관이 노출되는건 어쩔수 없나옵니다. 그래도 믿고 사는 엘지 오븐입니다. 다만, 전자렌인지 사용 시 옛날 볼전구에서 나는듯한 지지직 소리가 반복적으로 들리다 말다 합니다. 이 부분은 좀 더 써보고 변화가 있는지 봐야 할 것 같습니다."
475,"기왕이면 신제품 ㅎㅎ...
작년 제품을 알아보다 신상 디자인 보고 마음을 빼앗겨서 24년형을 구매했습니다.
기능도 많고 디자인도 갓벽...너무 만족합니다.

#이벤트참여"
476,"#이벤트참여
디자인 너무 예쁘네요. 가구와도 잘 어울립니다. 강추~"
477,"#이벤트참여
예쁘고 기능이 다양해서 마음에 드네요~
요리 더 자주 해먹을 것 같습니다 ^^"
478,너무 이쁜데 생각보다 엄청크네요
479,"#이벤트참여

에어프라이 온도 수동조절과 수비드 기능까지 추가되어 좋아요
디자인도 깔끔하고 이쁩니다."
480,"#이벤트 참여

기존에 전자레인지만 사용하다가 LG 오브제 광파오븐 신제품이 출시해서 바로 구매했습니다.
처음에는 전자레인지와 에어프라이어만 되는 줄 알았는데 에어수비드 기능까지 있어서 정말 좋아요!
무엇보다 심플한 디자인이 제일 마음에 들었습니다.
전자레인지 + 에어프라이어 + 에어수비드가 올인원 하나로 되니 공간이 절약되서 너무 좋아요!
LG 오브제 컬렉션 광파오븐 초강추 추전합니다~~"
481,"복합기능 제품이라 불편할거라 생각했는데 전자레인지도
에어프라이어도 이질감없이 간편하게 사용가능하더군요
디자인도 훌륭하고, 무엇보다 따로따로 쓰던 기기들 정리하고
광파오븐 하나만 두니 주방도 환해졌어요"
482,"에어프라이어 시간온도 수동기능 추가되어서 좋아요
디자인도 이쁨니다 ."
483,"#이벤트 참여

기존에 사용하던 에어프라이어가 청소도 힘들고 자리도 많이 차지해서
검색에 검색을 거듭하다 마침 LG디오스 오브제컬렉션 광파오븐 신제품이
나왔길래 바로 구매했습니다.
무엇보다 이제품 하나로 전자레인지와,전기오븐,에어프라이어 등 여러가지 제품의
기능이 다 들어있어서 너무 좋네요. 사용하던 전자레인지와 에어프라이어
다 치우고 깔끔하게 LG디오스 오브제 컬렉션 광파오븐을 설치하니
주방도 넓어지고 아주 좋습니다!! 아직 제대로 써보지는 못했지만
앞으로 하나하나 활용해 볼 예정입니다 ^^
에어프라이어나 전기오븐 전자레인지가 필요하신분은 구매하셔도
절대 후회없으실듯!! 강력 추천합니다~~"
484,"기사님이 빠르고 정확하게 설치해주셨어요
전 모델에 비해 디스플레이부분도 좋아졌고
문도 열고 닫을때 부드럽습니다.
에어프라이어도 온도 시간 설정할수 있는점이 젤 좋네요. 비싸지만 만족해요"
485,냉동식품 등 마트에서 파는 물건 씽큐앱으로 찾아서 오븐에 전송하면 알아서 맞춤요리해주는거 좋아요
486,다양요리를 쉽고 빠르게 할수있어 너무 좋습니다. 특히 스팀살균과 스팀요리는 진짜 강추입니다!!
487,고민믾이 하다가 샀는데 정말 좋아요 기본 전자레인지 기능부터가 다르네요 좋아요
488,디자인도 이쁘고 사용법도 간편하고.기존제품보다 소음도적고 좋아요
489,일단 디자인이 너무 마음에 들고 여러가지 기능이 통합되어 편리해요
490,"우선 깔끔한 색상이 마음에 들었구요
다양한 기능과 조절방식도 용이하게 되어 있어 있습니다.
그래서 음식을 만드는데 보다 많은 음식 종류를 요리할 수 있는 점이 가장 좋습니다."
491,"요리를 잘해먹을줄 알았지만
역시나 그래봤자 일주일에한번쓸까말까 ㅜㅡㅜ"
492,최신제품이고 예뻐서 구매했는데 음식마다 판을 계속 바꿔야 해서 귀찮긴 하네여
493,"너무 좋아요...근데 ㅠㅠ 청소 너무 어려워요

청소 관리 너무 어려워요...

5개월된 제품이 이렇게 더러워질 수 있을까요? ㅠㅠ

누가 쉬운 관리 방법 좀 알려주세요~"
494,너무 잘사용중이에요~ 종류도 많아서 굿이네요
495,좋은상품 잘 받았습니다. 감사합니다.
496,광파오븐 구입한후 요리의 질이 달라졌어요. 빵도 피자도 만들어 먹고있어요
497,"음식조리에 좋아요...
전자렌지기능및 오븐기능도 함께 되니 만족합니다"
498,요리 종류에 맞게 아주 쉽고 편리하게 사용합니다
499,음식의 맛이 달라요 흐기편해서 좋아요
500,신혼집이 작아 전자렌지 에어프라이어 오븐 기능 전부 다되는 제품으로 샀는데 생각보다 너무 커서 좀 당황했지만 디자인은 이뻐요 사용은 좀더 해봐야 좋은지 안좋은지 알수있을거같아요!
501,전자렌지사용도 만족하지만 에어프라이어 기능도 있어서 더욱좋고 스팀청소를 할수있어 더더욱좋아요
502,"성능도 좋고 유용하게 잘쓰고있습니다
생선 고기 등 폭넓게 사용할수있어 좋습니다ㅎㅎ"
503,"이사하면서 전자레인지 버리고 예전부터 갖고 싶었던 광파오븐으로 구매했습니다.
여러가지 기능이 있지만 우선 쓰는 기능은 전자레인지 해동, 데우기 그외 에어프라이어기능을 주로 사용하고 있고 차츰 다른기능도 써보려합니다."
504,전자레인지 고장나고 자리차지하는 에어프라이어랑 함께 사용가능한 광파오븐 구매하니 좁은주방 공간이 조금 남네요
505,다양한 요리를 쉽게 할 수 있어서 젛ㅣ좋아요
506,"음식을 편하고 다양하게 조리할 수 있어 너무 좋아요
요리 자주 할것 같아요ㅎㅎ"
507,이 광파오븐 하나로 다양한 음식을 해먹을수 있어서 좋습니다.
508,"자동요리 부터 에어프라이 작동 시, 예열 속도가 굉장히
빠르고 좋아요"
509,설치하고 설명도 잘해주셔서 사용잘하고있어요~ 핸드폰으로도 제어가능하고 좋아요
510,에어프라이기 오븐 전자렌지 그리고맞춤자동설정 다 너무좋네요
511,전자레인지 에어프라이어 오븐까지 한번에 되어 넘 편합니다 🤣🤣
512,사용하기 편리하고 주방에 설치하기 알맞음
513,신축에서 옵션안하고 같이 구매했어요 기능이많아요
514,좋아요 다양한 요리를 시도해 볼것 같아요
515,"일주일에 최소 3회이상 사용중이예여! ㅋㅋ 좋아여! 근데.. 잔수제거하고 꼭 열어서 확인 하는거 추천해여.. ㅠㅠ 저는 멀티클린 단계에서 잔수제거가 마지막이길래 차례대로 하고 (건조 단계 뒤에 잔수제거 였음...) 걍 잤다가 다음날 아침에 오븐 열어보고 진짜 놀램... 안에 물이 한가득 고여있고 .... 안에 약간 녹이 벌써... 하....
성능은 좋은데.. ㅠㅠㅠ"
516,이쁘고 좋아요 조작하기도 편하고 다기능이에요
517,렌지. 오븐 그리고 에어까지 너무 좋아요 한번에 해결 ㅋㅋ
518,아직 사용하지 못하고 설치만 해놨긴 한데... 이뻐서 맘에 듭니다 ㅎㅎ
519,"전자레인지, 에어후라이기, 광파오븐기능
올인원 제품이라 구매했는데
성능 출력 훌륭한 제품입니다
역시 가전은 LG입니다"
520,"전자레인지, 에어후라기, 광파오븐기능까지
올인원 제품이라 구매했는데
성능 기능 훌륭합니다
역시 가전은 LG입니다"
521,LG 하면 가전이죠 가전하면 LG고 뭐 말이 더 필요있나요
522,두번째 구매해서 사용할 정도로 괜찮음
523,군고구마 굽는데 시간이 얼마 안걸리네요. 맛있게 구워져요
524,"올인원 에프,레인지,오븐
한개로 가능해서 너무좋습니다
디자인도좋구구요
단,단점은
처음사용인데 삼겹굽고 바로 청소기능사용했는데
노란기름때가 안벗겨져서 실망입니다
요기능에너무기대치가컸나봅니다
청소기능이있지만 완벽하지못해요
소소한것들은 잘되지만 ,
기름있는것들은 방치한것도아니고 바로청소를 돌렸는데
눌러붙어서 잘안닦이네요 몇년묵은거마냥 후,,
그외것들은만족합니다
내돈내산 실제사용후기였습니다"
525,집에서 간단한 요리를 하고 싶어서 구입. 스콘을 만들었는데 아주 만족합니다.
526,"디자인너무 이뻐요
성능도 뭐 말이필요없겠죠
잘해먹고있습니다"
527,"#이벤트 참여
정말 디자인 하나는 타 제품보다 독보적이고
우선 기능적인 면에서 에어프라이어, 전자레인지가 필요없는거 같아서 당근마켓에 전부 중고로 처분하고 지금은 이것만 쓰는데 자리도 차지하지 않고 인테리어에도 너무 좋아요. 성능은 두말 할 나위도 없어요"
528,"#이벤트참여
배송이 조금 뒤로 밀렸지만, 예전모델보다 소음도 적고 추가된 기능들도 맘에 듭니다. 색상 옵션도 계속 추가되었으면 좋겠습니다."
529,문명을 모르고 살았네 ..씽크대 전자렌지 가라지고 에어프라이어 사라지고 광파오븐 하나 올려놓으니 속이 쉬워흐네요 ..냉동밥 돌렸는데 수분감이 너무좋아요
530,좋은 제품 싸게 잘 샀습니다.
531,좋아요 만족합니다.
532,기능이 많은것에비해 잘사용은못하구있어요~~ 그래도 생각햇던것보다는조아요^^
533,제품이 아주 좋아요
534,"좋아요
쓰기 편하고 좋어요"
535,모든 전자제품 엘지제품으로 교체하고 광파오븐이 타사제품이라서 이상없었지만 이번행사로 교체하였는데 집에서싸용하던 타사제품보다 불편한점이 조금있내요 내부가 가로는 조금넓지만 높이는 너무낮으면서도 히터코일도 내부에있어서 손화상위험도 높을것같고 특히 스팀물통 물교환시 무척불편하고 조작법도 편하지않아서 반품하고싶은마음이 굴뚝같았지만 귀찮아서 어쩔수없이 사용해봅니다 엘지제품 정말좋아하고 주위에추천 많이하지만 광파오븐만큼은 정이안감
536,"성능 최고
디자인최고
매우 만족"
537,전자렌지 오븐 에프 한번에 끝^~
538,"아직 사용하는게 많지 않지만 점차 범위가 넓어질꺼같네요~ 생선구이도 좋네요
차차 다른 요리를 도전해보겠습니다"
539,어플 편리성이 좋네요
540,"신형 모델이고 디자인이 예뻐서 구입했습니다.
청소할 때 스팀이 편리했고 옥수수같은거 데울때 스팀으로 찌면 시간은 조금 오래걸리지만 수분은 살아있어서 만족합니다.
에어프라니어 기능은 오븐이 커서 그런지 기존에 쓰던 에어프라이어 성능에 반도안되는거같네요. 에어프라이어는 따로 다른기기 사용하고있습니다!참고하세요"
541,편리하고 기능이 많아서 좋습니자
